Architecture,epoch,train_loss,valid_loss,train_acc,valid_acc,train_SE,valid_SE,train_SP,valid_SP,train_PC,valid_PC,train_JS,valid_JS,train_DC,valid_DC,lr,best_epoch,num_epochs,batch_size,augmentation_prob,pretrained,weight_decay,number_layers_freeze
TernausNet16,0,0.5678383229359859,0.4242386881203646,"tensor(0.9059, device='cuda:0')","tensor(0.9899, device='cuda:0')","tensor(0.4341, device='cuda:0')","tensor(0.1344, device='cuda:0')","tensor(0.9117, device='cuda:0')","tensor(0.9983, device='cuda:0')","tensor(0.2675, device='cuda:0')","tensor(0.3700, device='cuda:0')","tensor(0.1392, device='cuda:0')","tensor(0.1091, device='cuda:0')","tensor(0.2200, device='cuda:0')","tensor(0.1778, device='cuda:0')",0.0001,0,50,32,0.5,True,0.0,0
TernausNet16,1,0.2917126184351304,0.30202029783849405,"tensor(0.9875, device='cuda:0')","tensor(0.9905, device='cuda:0')","tensor(0.2972, device='cuda:0')","tensor(0.1803, device='cuda:0')","tensor(0.9958, device='cuda:0')","tensor(0.9984, device='cuda:0')","tensor(0.4364, device='cuda:0')","tensor(0.4551, device='cuda:0')","tensor(0.2064, device='cuda:0')","tensor(0.1502, device='cuda:0')","tensor(0.3164, device='cuda:0')","tensor(0.2407, device='cuda:0')",0.0001800000000000001,1,50,32,0.5,True,0.0,0
TernausNet16,2,0.27629451783765263,0.2925861201038982,"tensor(0.9877, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.2921, device='cuda:0')","tensor(0.1838, device='cuda:0')","tensor(0.9961, device='cuda:0')","tensor(0.9985, device='cuda:0')","tensor(0.4513, device='cuda:0')","tensor(0.4755, device='cuda:0')","tensor(0.2080, device='cuda:0')","tensor(0.1541, device='cuda:0')","tensor(0.3200, device='cuda:0')","tensor(0.2457, device='cuda:0')",0.00026,2,50,32,0.5,True,0.0,0
TernausNet16,3,0.27824457841760974,0.26940882191583243,"tensor(0.9877, device='cuda:0')","tensor(0.9902, device='cuda:0')","tensor(0.2874, device='cuda:0')","tensor(0.2440, device='cuda:0')","tensor(0.9962, device='cuda:0')","tensor(0.9974, device='cuda:0')","tensor(0.4515, device='cuda:0')","tensor(0.4507, device='cuda:0')","tensor(0.2074, device='cuda:0')","tensor(0.1903, device='cuda:0')","tensor(0.3193, device='cuda:0')","tensor(0.3005, device='cuda:0')",0.0003400000000000001,3,50,32,0.5,True,0.0,0
TernausNet16,4,0.27422928449486483,0.2663230251777014,"tensor(0.9878, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.2918, device='cuda:0')","tensor(0.2334, device='cuda:0')","tensor(0.9963, device='cuda:0')","tensor(0.9979, device='cuda:0')","tensor(0.4562, device='cuda:0')","tensor(0.4723, device='cuda:0')","tensor(0.2116, device='cuda:0')","tensor(0.1860, device='cuda:0')","tensor(0.3249, device='cuda:0')","tensor(0.2898, device='cuda:0')",0.0004199999999999999,4,50,32,0.5,True,0.0,0
TernausNet16,5,0.28952486919755693,0.31029581879821705,"tensor(0.9878, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.2774, device='cuda:0')","tensor(0.1521, device='cuda:0')","tensor(0.9964, device='cuda:0')","tensor(0.9988, device='cuda:0')","tensor(0.4474, device='cuda:0')","tensor(0.4725, device='cuda:0')","tensor(0.2015, device='cuda:0')","tensor(0.1318, device='cuda:0')","tensor(0.3106, device='cuda:0')","tensor(0.2144, device='cuda:0')",0.0005,4,50,32,0.5,True,0.0,0
TernausNet16,6,0.2737129177766688,0.3083928376256485,"tensor(0.9877, device='cuda:0')","tensor(0.9904, device='cuda:0')","tensor(0.2770, device='cuda:0')","tensor(0.1446, device='cuda:0')","tensor(0.9964, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0.4582, device='cuda:0')","tensor(0.4705, device='cuda:0')","tensor(0.2037, device='cuda:0')","tensor(0.1253, device='cuda:0')","tensor(0.3155, device='cuda:0')","tensor(0.2072, device='cuda:0')",0.0004199999999999999,4,50,32,0.5,True,0.0,0
TernausNet16,7,0.25783193620313116,0.25750627621235406,"tensor(0.9881, device='cuda:0')","tensor(0.9892, device='cuda:0')","tensor(0.2867, device='cuda:0')","tensor(0.4067, device='cuda:0')","tensor(0.9966, device='cuda:0')","tensor(0.9948, device='cuda:0')","tensor(0.4693, device='cuda:0')","tensor(0.4167, device='cuda:0')","tensor(0.2143, device='cuda:0')","tensor(0.2626, device='cuda:0')","tensor(0.3287, device='cuda:0')","tensor(0.3962, device='cuda:0')",0.0003400000000000001,7,50,32,0.5,True,0.0,0
TernausNet16,8,0.24316178874809202,0.2510485850427349,"tensor(0.9883, device='cuda:0')","tensor(0.9900, device='cuda:0')","tensor(0.2924, device='cuda:0')","tensor(0.3256, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9964, device='cuda:0')","tensor(0.4808, device='cuda:0')","tensor(0.4480, device='cuda:0')","tensor(0.2227, device='cuda:0')","tensor(0.2346, device='cuda:0')","tensor(0.3408, device='cuda:0')","tensor(0.3583, device='cuda:0')",0.00026,8,50,32,0.5,True,0.0,0
TernausNet16,9,0.2352134614832261,0.30270880698007324,"tensor(0.9884, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.2911, device='cuda:0')","tensor(0.1645, device='cuda:0')","tensor(0.9969, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0.4903, device='cuda:0')","tensor(0.4753, device='cuda:0')","tensor(0.2236, device='cuda:0')","tensor(0.1416, device='cuda:0')","tensor(0.3420, device='cuda:0')","tensor(0.2281, device='cuda:0')",0.0001800000000000001,8,50,32,0.5,True,0.0,0
TernausNet16,10,0.2270349480124081,0.26959029210347174,"tensor(0.9885, device='cuda:0')","tensor(0.9906, device='cuda:0')","tensor(0.3036, device='cuda:0')","tensor(0.2183, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9981, device='cuda:0')","tensor(0.4956, device='cuda:0')","tensor(0.4729, device='cuda:0')","tensor(0.2331, device='cuda:0')","tensor(0.1788, device='cuda:0')","tensor(0.3538, device='cuda:0')","tensor(0.2818, device='cuda:0')",0.0001,8,50,32,0.5,True,0.0,0
TernausNet16,11,0.23096321570773085,0.27784711115322874,"tensor(0.9884, device='cuda:0')","tensor(0.9907, device='cuda:0')","tensor(0.3021, device='cuda:0')","tensor(0.1642, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9987, device='cuda:0')","tensor(0.4899, device='cuda:0')","tensor(0.4966, device='cuda:0')","tensor(0.2305, device='cuda:0')","tensor(0.1430, device='cuda:0')","tensor(0.3514, device='cuda:0')","tensor(0.2327, device='cuda:0')",0.00014000000000000004,8,50,32,0.5,True,0.0,0
TernausNet16,12,0.2272000861768963,0.2610825738803325,"tensor(0.9884, device='cuda:0')","tensor(0.9889, device='cuda:0')","tensor(0.3013, device='cuda:0')","tensor(0.4068, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9945, device='cuda:0')","tensor(0.4966, device='cuda:0')","tensor(0.4110, device='cuda:0')","tensor(0.2296, device='cuda:0')","tensor(0.2599, device='cuda:0')","tensor(0.3502, device='cuda:0')","tensor(0.3960, device='cuda:0')",0.0001800000000000001,8,50,32,0.5,True,0.0,0
TernausNet16,13,0.229345289038009,0.25059559664478925,"tensor(0.9884, device='cuda:0')","tensor(0.9904, device='cuda:0')","tensor(0.2985, device='cuda:0')","tensor(0.2883, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9971, device='cuda:0')","tensor(0.4960, device='cuda:0')","tensor(0.4627, device='cuda:0')","tensor(0.2286, device='cuda:0')","tensor(0.2191, device='cuda:0')","tensor(0.3491, device='cuda:0')","tensor(0.3369, device='cuda:0')",0.00021999999999999993,13,50,32,0.5,True,0.0,0
TernausNet16,14,0.23363017042144005,0.2818530327735965,"tensor(0.9884, device='cuda:0')","tensor(0.9903, device='cuda:0')","tensor(0.2981, device='cuda:0')","tensor(0.2538, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.9973, device='cuda:0')","tensor(0.4906, device='cuda:0')","tensor(0.4427, device='cuda:0')","tensor(0.2283, device='cuda:0')","tensor(0.1955, device='cuda:0')","tensor(0.3480, device='cuda:0')","tensor(0.3042, device='cuda:0')",0.00026,13,50,32,0.5,True,0.0,0
TernausNet16,15,0.2371723249579678,0.25416499656704855,"tensor(0.9882, device='cuda:0')","tensor(0.9901, device='cuda:0')","tensor(0.3094, device='cuda:0')","tensor(0.2972, device='cuda:0')","tensor(0.9964, device='cuda:0')","tensor(0.9968, device='cuda:0')","tensor(0.4849, device='cuda:0')","tensor(0.4494, device='cuda:0')","tensor(0.2299, device='cuda:0')","tensor(0.2205, device='cuda:0')","tensor(0.3505, device='cuda:0')","tensor(0.3397, device='cuda:0')",0.00030000000000000003,13,50,32,0.5,True,0.0,0
TernausNet16,16,0.2292242224877622,0.24282609194121688,"tensor(0.9884, device='cuda:0')","tensor(0.9905, device='cuda:0')","tensor(0.2995, device='cuda:0')","tensor(0.2688, device='cuda:0')","tensor(0.9967, device='cuda:0')","tensor(0.9974, device='cuda:0')","tensor(0.4951, device='cuda:0')","tensor(0.4745, device='cuda:0')","tensor(0.2289, device='cuda:0')","tensor(0.2104, device='cuda:0')","tensor(0.3499, device='cuda:0')","tensor(0.3273, device='cuda:0')",0.00026,16,50,32,0.5,True,0.0,0
